cohort,year,tank,treatment,replicate,tube,length,sex,mic,castrated,ploidy
adult,2013,1,0,1,I_1,5.1,0,0,0,2
adult,2013,1,0,1,I_2,5.2,0,0,0,2
adult,2013,1,0,1,I_3,4.5,0,0,0,2
adult,2013,1,0,1,I_4,5.1,0,0,0,3
adult,2013,1,0,1,I_5,4.5,0,1,1,3
adult,2013,1,0,1,I_6,3.1,0,0,0,3
adult,2013,1,0,1,I_7,4.8,0,0,0,3
adult,2013,1,0,1,I_8,5,0,0,0,3
adult,2013,1,0,1,I_9,4.8,0,0,0,2
adult,2013,1,0,1,I_10,5,0,0,0,3
adult,2013,1,0,1,I_11,5.3,0,0,0,3
adult,2013,1,0,1,I_12,4.8,0,0,0,3
adult,2013,1,0,1,I_13,4.5,0,0,0,2
adult,2013,1,0,1,I_14,5,0,0,0,3
adult,2013,1,0,1,I_15,4.6,0,0,0,2
adult,2013,1,0,1,I_16,5.6,0,0,0,3
adult,2013,1,0,1,I_17,3,0,1,1,0
adult,2013,1,0,1,I_18,5.1,0,0,0,3
adult,2013,1,0,1,I_19,5.4,0,0,1,3
adult,2013,1,0,1,I_20,4.8,0,0,0,2
adult,2013,1,0,1,I_21,5,0,0,0,2
adult,2013,1,0,1,I_22,4.9,0,0,0,3
adult,2013,1,0,1,I_23,5.1,0,0,0,3
adult,2013,1,0,1,I_24,4.9,0,0,0,2
adult,2013,1,0,1,I_25,4.5,0,0,1,2
adult,2013,1,0,1,I_26,4.5,0,0,0,2
adult,2013,1,0,1,I_27,5,0,0,0,2
adult,2013,1,0,1,I_28,4.9,0,0,0,2
adult,2013,1,0,1,I_29,4.6,0,0,0,2
adult,2013,1,0,1,I_30,5.2,0,0,0,2
adult,2013,1,0,1,I_31,3.6,0,0,0,2
adult,2013,1,0,1,I_32,5,0,0,0,2
adult,2013,1,0,1,I_33,5.6,0,0,0,2
adult,2013,1,0,1,I_34,5.1,0,0,0,2
adult,2013,1,0,1,I_35,5,0,0,0,2
adult,2013,1,0,1,I_36,4.8,0,0,0,2
adult,2013,1,0,1,I_37,3.2,0,0,0,3
adult,2013,1,0,1,I_38,4.9,0,0,0,
adult,2013,1,0,1,I_39,3.1,0,0,0,0
adult,2013,1,0,1,I_40,5.5,0,0,0,2
adult,2013,1,0,1,I_41,5,0,0,0,2
adult,2013,1,0,1,I_42,5.7,0,0,0,3
adult,2013,1,0,1,I_43,5,0,0,0,3
adult,2013,1,0,1,I_44,4.9,0,0,0,3
adult,2013,1,0,1,I_45,4.4,0,0,0,2
adult,2013,1,0,1,I_46,4.3,0,0,0,3
adult,2013,1,0,1,I_47,4.6,0,0,0,2
adult,2013,1,0,1,I_48,3.2,0,0,0,3
adult,2013,1,0,1,I_49,5.1,0,0,0,2
adult,2013,1,0,1,I_50,5.2,0,0,0,3
adult,2013,1,0,1,I_51,4,0,0,0,
adult,2013,1,0,1,I_52,4.5,0,0,0,
adult,2013,1,0,1,I_53,4.9,0,0,1,
adult,2013,1,0,1,I_54,4.9,0,0,0,
adult,2013,1,0,1,I_55,4.8,0,0,0,
adult,2013,1,0,1,I_56,3.9,0,1,1,
adult,2013,1,0,1,I_57,5.7,0,0,0,
adult,2013,1,0,1,I_58,4.3,0,0,0,
adult,2013,1,0,1,I_59,5.2,0,0,0,
adult,2013,1,0,1,I_60,4.1,0,0,0,
adult,2013,1,0,1,I_61,5.3,0,0,0,
adult,2013,1,0,1,I_62,5,0,0,0,
adult,2013,1,0,1,I_63,5.1,0,0,0,
adult,2013,1,0,1,I_64,2.8,0,0,0,
adult,2013,1,0,1,I_65,2.6,0,0,0,
adult,2013,1,0,1,I_66,4.6,0,0,1,
adult,2013,1,0,1,I_67,3.6,0,0,0,
adult,2013,1,0,1,I_68,4.9,0,0,0,
adult,2013,1,0,1,I_69,3.2,0,0,0,
adult,2013,1,0,1,I_70,5.3,0,0,0,
adult,2013,1,0,1,I_71,5,0,0,0,
adult,2013,1,0,1,,4.3,1,0,0,2
adult,2013,1,0,1,,4,1,0,0,2
adult,2013,1,0,1,,4.5,1,0,0,2
adult,2013,1,0,1,,3.9,1,0,0,2
adult,2013,1,0,1,,4.1,1,0,0,2
adult,2013,1,0,1,,3.5,1,0,0,2
adult,2013,1,0,1,,4.3,1,0,0,2
adult,2013,1,0,1,,4.5,1,0,0,2
adult,2013,1,0,1,,4,1,0,0,2
adult,2013,1,0,1,,4.5,1,0,1,2
adult,2013,1,0,1,,4.8,1,0,0,2
adult,2013,1,0,1,,3,1,0,0,2
adult,2013,1,0,1,,4.8,1,0,0,2
adult,2013,1,0,1,,4.1,1,0,0,2
adult,2013,1,0,1,,4.2,1,0,0,2
adult,2013,1,0,1,,4,1,0,0,2
adult,2013,1,0,1,,3.9,1,0,1,2
adult,2013,1,0,1,,4,1,0,1,2
adult,2013,1,0,1,,4.2,1,0,0,2
adult,2013,1,0,1,,4.2,1,0,0,
adult,2013,1,0,1,,4.5,1,0,0,
adult,2013,1,0,1,,4.2,1,0,0,
adult,2013,1,0,1,,4.4,1,0,0,
adult,2013,1,0,1,,4,1,0,0,
adult,2013,1,0,1,,4.1,1,0,0,
adult,2013,1,0,1,,4.1,1,0,0,
adult,2013,1,0,1,,4.7,1,0,0,
adult,2013,1,0,1,,3.5,1,0,0,
adult,2013,1,0,1,,4.3,1,0,0,
adult,2013,1,0,1,I_101,5.3,0,0,1,
adult,2013,1,0,1,I_102,5.5,0,0,0,
adult,2013,1,0,1,I_103,5,0,0,0,
adult,2013,1,0,1,I_104,4.8,0,0,0,
adult,2013,1,0,1,I_105,4.7,0,0,0,
adult,2013,1,0,1,I_106,4.9,0,0,0,
adult,2013,1,0,1,I_107,5,0,0,0,
adult,2013,1,0,1,I_108,5.8,0,0,0,
adult,2013,1,0,1,I_109,4.5,0,1,1,
adult,2013,1,0,1,I_110,3.3,0,0,0,
adult,2013,1,0,1,I_111,4.3,0,0,0,
adult,2013,1,0,1,I_112,4.5,0,0,0,
adult,2013,1,0,1,I_113,4.5,0,0,1,
adult,2013,1,0,1,I_114,4.5,0,1,1,
adult,2013,1,0,1,I_115,5,0,0,0,
adult,2013,1,0,1,I_116,5,0,0,0,
adult,2013,1,0,1,I_117,4.9,0,0,0,
adult,2013,1,0,1,I_118,5.2,0,0,0,
adult,2013,1,0,1,I_119,5,0,0,0,
adult,2013,1,0,1,I_120,4.6,0,0,0,
adult,2013,1,0,1,I_121,3.9,0,0,0,
adult,2013,1,0,1,I_122,4.5,0,0,0,3
adult,2013,1,0,1,I_123,6,0,0,0,
adult,2013,1,0,1,I_124,4.6,0,0,0,
adult,2013,1,0,1,I_125,4.7,0,0,0,
adult,2013,1,0,1,I_126,5.1,0,0,0,
adult,2013,1,0,1,I_127,3.5,0,0,0,
adult,2013,1,0,1,I_128,5,0,0,0,
adult,2013,1,0,1,I_129,5.6,0,0,0,
adult,2013,1,0,1,I_130,3.5,0,0,0,
adult,2013,1,0,1,I_131,5,0,0,0,
adult,2013,1,0,1,I_132,3.3,0,0,0,
adult,2013,1,0,1,I_133,4.8,0,0,0,
adult,2013,1,0,1,I_134,5.8,0,0,1,
adult,2013,1,0,1,I_135,4.6,0,0,0,
adult,2013,1,0,1,I_136,4.4,0,0,0,
adult,2013,1,0,1,I_137,4.5,0,0,0,
adult,2013,1,0,1,,3.5,1,0,0,
adult,2013,1,0,1,,4.3,1,0,0,
adult,2013,1,0,1,,4,1,0,0,
adult,2013,1,0,1,,4.2,1,0,0,
adult,2013,1,0,1,,4.5,1,0,0,
adult,2013,1,0,1,,4.5,1,0,0,
adult,2013,1,0,1,,3.9,1,0,0,
adult,2013,1,0,1,,3.7,1,0,0,
adult,2013,1,0,1,,4,1,0,1,
adult,2013,1,0,1,,4.1,1,0,0,
adult,2013,1,0,1,,4.9,1,0,0,
adult,2013,1,0,1,,4,1,0,0,
adult,2013,1,0,1,,4.2,1,0,0,
adult,2013,2,1,1,J_1,5,0,0,1,2
adult,2013,2,1,1,J_2,5.1,0,1,1,2
adult,2013,2,1,1,J_3,5.3,0,0,1,2
adult,2013,2,1,1,J_4,5,0,0,1,2
adult,2013,2,1,1,J_5,5.7,0,0,0,3
adult,2013,2,1,1,J_6,4.1,0,1,1,3
adult,2013,2,1,1,J_7,4.5,0,0,0,3
adult,2013,2,1,1,J_8,4.8,0,1,1,2
adult,2013,2,1,1,J_9,5.3,0,0,0,3
adult,2013,2,1,1,J_10,4.9,0,0,1,3
adult,2013,2,1,1,J_11,3.8,0,1,1,0
adult,2013,2,1,1,J_12,5,0,0,0,3
adult,2013,2,1,1,J_13,4.8,0,0,1,3
adult,2013,2,1,1,J_14,4.9,0,1,1,3
adult,2013,2,1,1,J_15,5.1,0,1,1,2
adult,2013,2,1,1,J_16,4.2,0,1,1,2
adult,2013,2,1,1,J_17,4.5,0,0,0,3
adult,2013,2,1,1,J_18,5.8,0,0,0,3
adult,2013,2,1,1,J_19,3.6,0,0,0,3
adult,2013,2,1,1,J_20,5.7,0,0,0,3
adult,2013,2,1,1,J_21,5.3,0,0,0,3
adult,2013,2,1,1,J_22,5.2,0,0,0,0
adult,2013,2,1,1,J_23,4.2,0,1,1,0
adult,2013,2,1,1,J_24,4.3,0,0,1,2
adult,2013,2,1,1,J_25,5,0,0,0,3
adult,2013,2,1,1,J_26,3.6,0,1,1,2
adult,2013,2,1,1,J_27,4.1,0,1,1,
adult,2013,2,1,1,J_28,4.8,0,0,0,2
adult,2013,2,1,1,J_29,5,0,0,0,2
adult,2013,2,1,1,J_30,3.4,0,1,1,2
adult,2013,2,1,1,J_31,5,0,0,0,3
adult,2013,2,1,1,J_32,5.1,0,0,0,2
adult,2013,2,1,1,J_33,5.2,0,0,0,
adult,2013,2,1,1,J_34,3.1,0,1,1,0
adult,2013,2,1,1,J_35,5.1,0,0,0,3
adult,2013,2,1,1,J_36,3.8,0,1,1,2
adult,2013,2,1,1,J_37,5.1,0,0,0,3
adult,2013,2,1,1,J_38,5,0,0,0,2
adult,2013,2,1,1,J_39,5,0,0,0,3
adult,2013,2,1,1,J_40,4.5,0,1,1,2
adult,2013,2,1,1,J_41,5.1,0,0,0,2
adult,2013,2,1,1,J_42,4.8,0,0,0,3
adult,2013,2,1,1,J_43,4.5,0,0,0,3
adult,2013,2,1,1,J_44,4.8,0,0,0,3
adult,2013,2,1,1,J_45,4.9,0,0,0,2
adult,2013,2,1,1,J_46,5,0,0,0,2
adult,2013,2,1,1,J_47,4,0,1,1,2
adult,2013,2,1,1,J_48,3.3,0,1,1,2
adult,2013,2,1,1,J_49,4.9,0,0,1,3
adult,2013,2,1,1,J_50,3.8,0,1,1,2
adult,2013,2,1,1,J_51,3.3,0,0,0,3
adult,2013,2,1,1,J_52,4,0,1,1,2
adult,2013,2,1,1,J_53,5.1,0,0,0,3
adult,2013,2,1,1,J_54,5.3,0,0,0,3
adult,2013,2,1,1,J_55,3.2,0,1,1,0
adult,2013,2,1,1,J_56,5.1,0,0,1,
adult,2013,2,1,1,J_57,5.4,0,0,0,
adult,2013,2,1,1,J_58,5,0,0,0,
adult,2013,2,1,1,J_59,5,0,0,0,
adult,2013,2,1,1,J_60,4.5,0,0,0,
adult,2013,2,1,1,J_61,4.2,0,0,1,
adult,2013,2,1,1,J_62,5,0,0,0,
adult,2013,2,1,1,J_63,3.6,0,1,1,
adult,2013,2,1,1,J_64,4.9,0,0,0,
adult,2013,2,1,1,J_65,3.5,0,1,1,
adult,2013,2,1,1,J_66,3.8,0,1,1,
adult,2013,2,1,1,J_67,4.9,0,0,0,
adult,2013,2,1,1,J_68,3.5,0,1,1,
adult,2013,2,1,1,J_69,5,0,0,0,
adult,2013,2,1,1,J_70,4,0,1,1,
adult,2013,2,1,1,J_71,4,0,1,1,
adult,2013,2,1,1,J_72,5,0,0,0,
adult,2013,2,1,1,J_73,4.5,0,0,0,
adult,2013,2,1,1,J_74,3.5,0,0,1,
adult,2013,2,1,1,J_75,5.1,0,0,0,
adult,2013,2,1,1,J_76,4.6,0,0,1,
adult,2013,2,1,1,J_77,4.6,0,0,0,
adult,2013,2,1,1,J_78,4.5,0,1,1,
adult,2013,2,1,1,J_79,4.9,0,0,1,
adult,2013,2,1,1,J_80,4.6,0,0,0,
adult,2013,2,1,1,J_81,5,0,0,0,0
adult,2013,2,1,1,J_82,5,0,0,1,
adult,2013,2,1,1,J_83,4.5,0,0,0,
adult,2013,2,1,1,J_84,4.5,0,0,0,
adult,2013,2,1,1,J_85,5.3,0,0,0,
adult,2013,2,1,1,J_86,5.6,0,0,0,
adult,2013,2,1,1,J_87,5.1,0,0,1,3
adult,2013,2,1,1,J_88,4.7,0,0,1,
adult,2013,2,1,1,J_89,5,0,0,0,
adult,2013,2,1,1,J_90,4.3,0,0,0,
adult,2013,2,1,1,J_91,3.9,0,0,1,
adult,2013,2,1,1,J_92,5.1,0,0,0,
adult,2013,2,1,1,J_93,4.9,0,0,0,
adult,2013,2,1,1,J_94,4.5,0,0,0,
adult,2013,2,1,1,J_95,3.8,0,1,1,
adult,2013,2,1,1,J_96,3.9,0,1,1,
adult,2013,2,1,1,J_97,5,0,0,0,
adult,2013,2,1,1,J_98,5.4,0,0,0,
adult,2013,2,1,1,J_99,3,0,0,0,
adult,2013,2,1,1,J_100,3.8,0,1,1,
adult,2013,2,1,1,,4.4,0,0,1,
adult,2013,2,1,1,,5,0,0,0,
adult,2013,2,1,1,,4.6,0,0,0,
adult,2013,2,1,1,,3,0,1,1,
adult,2013,2,1,1,,5,0,0,1,
adult,2013,2,1,1,,5,0,0,0,
adult,2013,2,1,1,,5,0,0,0,
adult,2013,2,1,1,,5.6,0,0,0,
adult,2013,2,1,1,,5.5,0,0,0,
adult,2013,2,1,1,,4.7,0,0,1,
adult,2013,2,1,1,,4.6,0,0,0,
adult,2013,2,1,1,,4.8,0,0,0,
