period,collector,year,site,id,length,sex,mic,ploidy,castrated
1,AKG,2013,swamp,A_1,5.1,0,0,2,0
1,AKG,2013,swamp,A_2,4.8,0,1,3,1
1,AKG,2013,swamp,A_3,4.8,0,1,2,1
1,AKG,2013,swamp,A_4,4.1,0,0,2,1
1,AKG,2013,swamp,A_5,3.8,0,1,2,1
1,AKG,2013,swamp,A_6,4.3,0,0,3,0
1,AKG,2013,swamp,A_7,5,0,1,2,1
1,AKG,2013,swamp,A_8,4.8,0,1,0,1
1,AKG,2013,swamp,A_9,5.1,0,1,2,1
1,AKG,2013,swamp,A_10,4.5,0,1,2,1
1,AKG,2013,swamp,A_11,4.1,0,1,3,1
1,AKG,2013,swamp,A_12,4.8,0,1,2,1
1,AKG,2013,swamp,A_13,4.4,0,1,2,1
1,AKG,2013,swamp,A_14,5,0,0,2,0
1,AKG,2013,swamp,A_15,4.5,0,1,2,1
1,AKG,2013,swamp,A_16,5,0,0,3,0
1,AKG,2013,swamp,A_17,4.8,0,1,2,1
1,AKG,2013,swamp,A_18,4.1,0,1,2,1
1,AKG,2013,swamp,A_19,4.8,0,1,2,1
1,AKG,2013,swamp,A_20,4.2,0,1,2,1
1,AKG,2013,swamp,A_21,4.6,0,1,2,1
1,AKG,2013,swamp,A_22,5.1,0,1,2,1
1,AKG,2013,swamp,A_23,4.9,0,0,2,0
1,AKG,2013,swamp,A_24,4.6,0,1,3,1
1,AKG,2013,swamp,A_25,4.3,0,1,3,1
1,AKG,2013,swamp,A_26,4.2,0,1,3,1
1,AKG,2013,swamp,A_27,4.4,0,1,2,1
1,AKG,2013,swamp,A_28,4.2,0,1,2,1
1,AKG,2013,swamp,A_29,3.9,0,1,2,1
1,AKG,2013,swamp,A_30,4.5,0,0,3,0
1,AKG,2013,swamp,A_31,4,0,0,2,0
1,AKG,2013,swamp,A_32,4.8,0,1,2,1
1,AKG,2013,swamp,A_33,4.8,0,1,2,1
1,AKG,2013,swamp,A_34,4.8,0,1,0,1
1,AKG,2013,swamp,A_35,4.1,0,1,3,1
1,AKG,2013,swamp,A_36,5,0,1,2,1
1,AKG,2013,swamp,A_37,4,0,0,2,0
1,AKG,2013,swamp,A_38,4.8,0,0,2,0
1,AKG,2013,swamp,A_39,4.2,0,1,2,1
1,AKG,2013,swamp,A_40,4.5,0,1,2,1
1,AKG,2013,swamp,A_41,4.9,0,1,2,1
1,AKG,2013,swamp,A_42,4.8,0,1,2,1
1,AKG,2013,swamp,A_43,4.1,0,1,3,1
1,AKG,2013,swamp,A_44,4.8,0,1,2,1
1,AKG,2013,swamp,A_45,4.5,0,1,0,1
1,AKG,2013,swamp,A_46,3.5,0,0,3,0
1,AKG,2013,swamp,A_47,5,0,1,0,1
1,AKG,2013,swamp,A_48,5,0,1,3,1
1,AKG,2013,swamp,A_49,4.5,0,1,2,1
1,AKG,2013,swamp,A_50,4.7,0,1,2,1
1,AKG,2013,swamp,A_51,4.6,0,1,,1
1,AKG,2013,swamp,A_52,5,0,1,,1
1,AKG,2013,swamp,A_53,4.8,0,1,,1
1,AKG,2013,swamp,A_54,3,0,0,,0
1,AKG,2013,swamp,A_55,3.3,0,1,,1
1,AKG,2013,swamp,A_56,3.7,0,1,,1
1,AKG,2013,swamp,A_57,5.1,0,1,,1
1,AKG,2013,swamp,A_58,4,0,1,,1
1,AKG,2013,swamp,A_59,3.2,0,0,,0
1,AKG,2013,swamp,A_60,4.6,0,1,,1
1,AKG,2013,swamp,A_61,4.2,0,0,,1
1,AKG,2013,swamp,A_62,4.1,0,1,,1
1,AKG,2013,swamp,A_63,4.2,0,0,,0
1,AKG,2013,swamp,A_64,5,0,1,,1
1,AKG,2013,swamp,A_65,4.1,0,1,,1
1,AKG,2013,swamp,A_66,4.1,0,1,,1
1,AKG,2013,swamp,A_67,3,0,0,,0
1,AKG,2013,swamp,A_68,5,0,0,,0
1,AKG,2013,swamp,A_69,2.8,0,0,,0
1,AKG,2013,swamp,A_70,4.1,0,1,,1
1,AKG,2013,swamp,A_71,4.9,0,1,,1
1,AKG,2013,swamp,A_72,3.8,0,0,,0
1,AKG,2013,swamp,A_73,5.8,0,1,,1
1,AKG,2013,swamp,A_74,5,0,1,,1
1,AKG,2013,swamp,A_75,4.8,0,0,,0
1,AKG,2013,swamp,A_76,3.1,0,0,,0
1,AKG,2013,swamp,A_77,5,0,1,,1
1,AKG,2013,swamp,A_78,4.5,0,1,,1
1,AKG,2013,swamp,A_79,4,0,0,,0
1,AKG,2013,swamp,A_80,4.8,0,1,,1
1,AKG,2013,swamp,A_81,4.5,0,1,,1
1,AKG,2013,swamp,A_82,3.2,0,0,,0
1,AKG,2013,swamp,A_83,4.5,0,0,,1
1,AKG,2013,swamp,A_84,3.6,0,1,,1
1,AKG,2013,swamp,A_85,4.6,0,1,,1
1,AKG,2013,swamp,A_86,4.8,0,1,,1
1,AKG,2013,swamp,A_87,3.9,0,0,,0
1,AKG,2013,swamp,A_88,3.5,0,0,,0
1,AKG,2013,swamp,A_89,4.6,0,0,,0
1,AKG,2013,swamp,A_90,5,0,1,,1
1,AKG,2013,swamp,A_91,2.9,0,0,,0
1,AKG,2013,swamp,A_92,4.7,0,1,,1
1,AKG,2013,swamp,A_93,5,0,0,,0
1,AKG,2013,swamp,A_94,5,0,1,,1
1,AKG,2013,swamp,A_95,4.3,0,1,,1
1,AKG,2013,swamp,A_96,4.9,0,1,,1
1,AKG,2013,swamp,A_97,3.6,0,0,,0
1,AKG,2013,swamp,A_98,3.8,0,0,,0
1,AKG,2013,swamp,A_99,4.5,0,1,,1
1,AKG,2013,swamp,A_100,4.6,0,1,,1
1,AKG,2013,swamp,A_101,5,0,1,,1
1,AKG,2013,swamp,A_102,4.5,0,0,,0
1,AKG,2013,swamp,A_103,4.9,0,1,,1
1,AKG,2013,swamp,A_104,3.5,0,0,,0
1,AKG,2013,swamp,A_105,4,0,0,,0
1,AKG,2013,swamp,A_106,4.9,0,0,,0
1,AKG,2013,swamp,A_107,4.8,0,1,,1
1,AKG,2013,swamp,A_108,3.8,0,0,,0
1,AKG,2013,swamp,A_109,5,0,1,,1
1,AKG,2013,swamp,A_110,4.6,0,0,,0
1,AKG,2013,swamp,111,4,1,0,2,0
1,AKG,2013,swamp,112,5,1,1,2,1
1,AKG,2013,swamp,113,3.3,1,0,2,0
1,AKG,2013,swamp,114,3.8,1,1,2,1
1,AKG,2013,swamp,115,3.4,1,0,2,0
1,AKG,2013,swamp,116,4,1,1,2,1
1,AKG,2013,swamp,117,4.5,1,1,2,1
1,AKG,2013,swamp,118,4.1,1,1,2,1
1,AKG,2013,swamp,119,3.9,1,1,2,1
1,AKG,2013,swamp,120,4,1,1,2,1
1,AKG,2013,swamp,121,3.8,1,1,2,1
1,AKG,2013,swamp,122,3.9,1,1,2,1
1,AKG,2013,swamp,123,4,1,1,2,1
1,AKG,2013,swamp,124,4,1,1,2,1
1,AKG,2013,swamp,125,4.2,1,1,2,1
1,AKG,2013,swamp,126,4.2,1,1,2,1
1,AKG,2013,swamp,127,3.1,1,0,2,0
1,AKG,2013,swamp,128,4.1,1,1,2,1
1,AKG,2013,swamp,129,4.1,1,0,2,1
1,AKG,2013,swamp,130,4,1,1,2,1
1,AKG,2013,swamp,131,3.8,1,1,2,1
1,AKG,2013,swamp,132,4.1,1,1,2,1
1,AKG,2013,swamp,133,4.1,1,1,2,1
1,AKG,2013,swamp,134,4.5,1,0,2,1
1,AKG,2013,swamp,135,4,1,1,2,1
1,AKG,2013,swamp,136,4.1,1,1,2,1
1,AKG,2013,swamp,137,4.2,1,1,2,1
1,AKG,2013,swamp,138,4.9,1,1,2,1
1,AKG,2013,swamp,139,4.2,1,1,2,1
1,AKG,2013,swamp,140,4.2,1,0,2,0
1,AKG,2013,swamp,141,4.7,1,1,2,1
1,AKG,2013,swamp,142,3.9,1,1,2,1
1,AKG,2013,swamp,143,3.8,1,0,2,0
1,AKG,2013,swamp,144,4.5,1,1,2,1
1,AKG,2013,swamp,145,4.2,1,1,2,1
1,AKG,2013,swamp,146,3.5,1,1,2,1
1,AKG,2013,swamp,147,4,1,0,2,1
1,AKG,2013,swamp,148,4.1,1,1,2,1
1,AKG,2013,swamp,149,3.5,1,0,2,0
1,AKG,2013,swamp,150,3.4,1,1,2,1
1,AKG,2013,wpoint,E_1,4.1,0,1,2,1
1,AKG,2013,wpoint,E_2,5,0,0,2,0
1,AKG,2013,wpoint,E_3,4.2,0,1,2,1
1,AKG,2013,wpoint,E_4,4.1,0,0,2,0
1,AKG,2013,wpoint,E_5,4.5,0,1,2,1
1,AKG,2013,wpoint,E_6,4,0,0,2,0
1,AKG,2013,wpoint,E_7,4,0,0,3,0
1,AKG,2013,wpoint,E_8,5,0,1,2,1
1,AKG,2013,wpoint,E_9,4.7,0,0,3,0
1,AKG,2013,wpoint,E_10,4.6,0,0,2,0
1,AKG,2013,wpoint,E_11,3.9,0,1,2,1
1,AKG,2013,wpoint,E_12,4.2,0,1,2,1
1,AKG,2013,wpoint,E_13,3.3,0,1,2,1
1,AKG,2013,wpoint,E_14,3.5,0,1,2,1
1,AKG,2013,wpoint,E_15,3.8,0,0,2,0
1,AKG,2013,wpoint,E_16,3.6,0,0,2,0
1,AKG,2013,wpoint,E_17,3.2,0,0,2,0
1,AKG,2013,wpoint,E_18,3.8,0,0,2,0
1,AKG,2013,wpoint,E_19,3.3,0,0,2,0
1,AKG,2013,wpoint,E_20,3.3,0,0,2,0
1,AKG,2013,wpoint,E_21,3.9,0,1,3,1
1,AKG,2013,wpoint,E_22,4.1,0,0,2,0
1,AKG,2013,wpoint,E_23,4.6,0,1,2,1
1,AKG,2013,wpoint,E_24,3.7,0,0,3,0
1,AKG,2013,wpoint,E_25,2.8,0,0,2,0
1,AKG,2013,wpoint,E_26,3.1,0,0,3,0
1,AKG,2013,wpoint,E_27,2.5,0,0,2,0
1,AKG,2013,wpoint,E_28,4.5,0,1,3,1
1,AKG,2013,wpoint,E_29,4.8,0,0,2,0
1,AKG,2013,wpoint,E_30,4.2,0,1,2,1
1,AKG,2013,wpoint,E_31,4.5,0,0,2,0
1,AKG,2013,wpoint,E_32,3.2,0,0,2,0
1,AKG,2013,wpoint,E_33,4.9,0,1,2,1
1,AKG,2013,wpoint,E_34,3.9,0,1,2,1
1,AKG,2013,wpoint,E_35,4.1,0,0,2,0
1,AKG,2013,wpoint,E_36,4.2,0,0,2,0
1,AKG,2013,wpoint,E_37,4.5,0,0,2,0
1,AKG,2013,wpoint,E_38,4.8,0,0,3,0
1,AKG,2013,wpoint,E_39,4,0,0,2,0
1,AKG,2013,wpoint,E_40,5,0,0,2,0
1,AKG,2013,wpoint,E_41,4.1,0,0,2,0
1,AKG,2013,wpoint,E_42,3.8,0,0,2,0
1,AKG,2013,wpoint,E_43,4.3,0,0,0,0
1,AKG,2013,wpoint,E_44,4.4,0,0,2,0
1,AKG,2013,wpoint,E_45,4.9,0,0,3,1
1,AKG,2013,wpoint,E_46,4,0,0,,0
1,AKG,2013,wpoint,E_47,4.2,0,1,2,1
1,AKG,2013,wpoint,E_48,3.9,0,0,2,0
1,AKG,2013,wpoint,E_49,4,0,1,2,1
1,AKG,2013,wpoint,E_50,4.1,0,0,2,0
1,AKG,2013,wpoint,E_51,4.4,0,0,,0
1,AKG,2013,wpoint,E_52,4,0,1,,1
1,AKG,2013,wpoint,E_53,3.1,0,0,,1
1,AKG,2013,wpoint,E_54,3.5,0,0,,0
1,AKG,2013,wpoint,E_55,3.1,0,0,,1
1,AKG,2013,wpoint,E_56,4.5,0,1,,1
1,AKG,2013,wpoint,E_57,3.5,0,0,,0
1,AKG,2013,wpoint,E_58,4,0,0,,0
1,AKG,2013,wpoint,E_59,4.5,0,1,,1
1,AKG,2013,wpoint,E_60,4.3,0,1,,1
1,AKG,2013,wpoint,E_61,4.1,0,0,,0
1,AKG,2013,wpoint,E_62,4.5,0,1,,1
1,AKG,2013,wpoint,E_63,5.2,0,1,,1
1,AKG,2013,wpoint,E_64,4.1,0,0,,0
1,AKG,2013,wpoint,E_65,4.2,0,1,,1
1,AKG,2013,wpoint,E_66,4,0,1,,1
1,AKG,2013,wpoint,E_67,4,0,1,,1
1,AKG,2013,wpoint,E_68,4.9,0,0,,1
1,AKG,2013,wpoint,E_69,3.9,0,0,,0
1,AKG,2013,wpoint,E_70,3.1,0,0,,0
1,AKG,2013,wpoint,E_71,3,0,0,,0
1,AKG,2013,wpoint,E_72,4.1,0,0,,0
